,Original,Summary
4191,biaya layanan nambah yak   anehh  aplikasi sebelah kagak biaya aplikasi ,biaya layanan nambah yak   anehh  aplikasi sebelah kagak biaya aplikasi 
4192,sreg kalo biaya layanan  semoga diperbaiki kebijakan nya,sreg kalo biaya layanan  semoga diperbaiki kebijakan nya
4193,mantap,mantap
4194,1 bintang Alhamdulillah  tarif tambahan 3ribu  tau aja,tarif tambahan 3ribu 
4195,permudah j cicilan ny a  ok  ,permudah j cicilan ny a  ok  
4196,,
4197,Biaya nya nambah ya  1000 plus 2000  total barang yg beli nambah 3000 mahal ,total barang yg beli nambah 3000 mahal 
4198,Apk ngent gopaylater cicil blokir gjls bnget ajjir,Apk ngent gopaylater cicil blokir gjls bnget ajjir
4199,Maaf min pelanggan tp bintangnya rubah karna biaya layanan aplikasi yg udah nggak masuk akalll   Mending toko oren,Maaf min pelanggan tp bintangnya rubah karna biaya layanan aplikasi yg udah nggak masuk akalll   Mending toko oren
4200,dikenakan biaya tambahan membebani  kasih bintang 1 aja  pilih aja ,pilih aja 
4201,niceeee,niceeee
4202,Tokopedia gimana kurirnya ga  nomor telepon alamat alasan ga hubungi cek tujuan penjualnya alasan kesasar ga jelasss,Tokopedia gimana kurirnya ga  nomor telepon alamat alasan ga hubungi cek tujuan penjualnya alasan kesasar ga jelasss
4203,Aplikasi membantu  saldo hilang top up BNI tapcash,Aplikasi membantu  saldo hilang top up BNI tapcash
4204,tolong kalo tambahin dana payment nya,tolong kalo tambahin dana payment nya
4205,nama aplikasinya nokohpedia  toko pedia  voucher gak berguna  promo ilang auto delete aplikasi  bintang 1 aja ,toko pedia  voucher gak berguna  promo ilang auto delete aplikasi  bintang 1 aja 
4206,Coba,Coba
4207,bagus,bagus
4208,Membantu,Membantu
4209,Kacau pengiriman bngt 7hari paket ,Kacau pengiriman bngt 7hari paket 
4210,,
4211,ya ganti nomer udah gak aktif susah banget kadang eror Ampe blm ganti ngeselin banget tolong dibenerin ,ya ganti nomer udah gak aktif susah banget kadang eror Ampe blm ganti ngeselin banget tolong dibenerin 
4212,telat 1 denda 200  sungguh buruk,telat 1 denda 200  sungguh buruk
4213,pantass bangkrut,pantass bangkrut
4214,mantaaappp,mantaaappp
4215,Hadehh,Hadehh
4216,sdh muak laporan salah toko app pesanan nama saudara diproses trs kirim trs menerus toko nya merespon kecewa,sdh muak laporan salah toko app pesanan nama saudara diproses trs kirim trs menerus toko nya merespon kecewa
4217,Memalak gaya,Memalak gaya
4218,Nawarin kupon gratis ongkir pakek kurir rekomendasi  tp gk pengirimannya    lamaaaaa gk sesuai estimasi yg tertera apk tokped    anjirrr  ,Nawarin kupon gratis ongkir pakek kurir rekomendasi  tp gk pengirimannya    lamaaaaa gk sesuai estimasi yg tertera apk tokped    anjirrr  
4219,TOKOPEDIA UDH MISSQUEEN NIH KAYAKNYA  BELANJA GAK BIAYA LAYANAN  KESINI BIAYA LAYANAN  RP 1000   BIAYA LAYANAN APLIKASI NYA  RP 2000   TOTAL KALI BELANJA UANG  RP 3000  TRANSAKSI   BERCANDA NIH TOKOPEDIA SKRG ,BERCANDA NIH TOKOPEDIA SKRG 
4220,Biaya Tokopedia belanja Murah mahal  karna biaya layanan Aplikasi,Biaya Tokopedia belanja Murah mahal  karna biaya layanan Aplikasi
4221,Kebanyakan biaya layanan jasa apl kali,Kebanyakan biaya layanan jasa apl kali
4222,Belanja toped ga seindah senyaman  mei 2023 skrng biaya tambahan layanan jasa aplikasi  yg sy ga  dpt free ongkir tp biaya tambahan 3rb transaksi  jg free ongkirnya ga gabung dgn promo  berharap biaya² tambahan tsb hilangkan  ,Belanja toped ga seindah senyaman  mei 2023 skrng biaya tambahan layanan jasa aplikasi  yg sy ga  dpt free ongkir tp biaya tambahan 3rb transaksi  jg free ongkirnya ga gabung dgn promo  berharap biaya² tambahan tsb hilangkan  
4223,belanja biaya jasa aplikasi Rp2000 ,belanja biaya jasa aplikasi Rp2000 
4224,biaya jasa aplikasi anjir,biaya jasa aplikasi anjir
4225,,
4226,mantap,mantap
4227, , 
4228,pembayaran muter2 trus bikin jengkel,pembayaran muter2 trus bikin jengkel
4229,Nambah biaya Aplikasi Layanan nyari ngakalin biar biaya  Gratis ongkir sedikiiiiiit  dah ga sebagus  penilaian kurir pengiriman mengutamakan kecepatan  ketepatan manjaga kerusakan barang  penilaian kurir jelek kurir rekomendasi bagus  Komplain retur ongkir aja tolol tokopedia care molor chat nunggu 30mnt cuman periksa doang  ga ,Gratis ongkir sedikiiiiiit  dah ga sebagus 
4230,mantap,mantap
4231,Tokopedia the best,Tokopedia the best
4232,mudah,mudah
4233,2 biaya biaya transfer biaya aplikasi,2 biaya biaya transfer biaya aplikasi
4234,terima kasih pelayanannya memudahkan masyarakat belanja kebutuhan semoga sukses,terima kasih pelayanannya memudahkan masyarakat belanja kebutuhan semoga sukses
4235,Paraaah euyyy habis update nambah malak biaya  auto uninstall ,Paraaah euyyy habis update nambah malak biaya  auto uninstall 
4236,kesini ramah,kesini ramah
4237,biaya layanan  biaya aplikasi  nih auto unintals  kecewa banget,biaya layanan  biaya aplikasi  nih auto unintals  kecewa banget
4238,bagus,bagus
4239,Males belanja SNI biaya aplikasi nya,Males belanja SNI biaya aplikasi nya
4240,Goodjoblah ,Goodjoblah 
4241,Good ,Good 
4242,Gila sih Tokopedia ngadi  banget suruh bayar ga bayar layanan bayar aplikasi bayar asuransi karyawan dllyang bener aja bikin perubahannya,Gila sih Tokopedia ngadi  banget suruh bayar ga bayar layanan bayar aplikasi bayar asuransi karyawan dllyang bener aja bikin perubahannya
4243,Min  bakarbakar duit mulu  pertahanan promo cashback free ongkirnya  gini  user pindah olshop sebelah biaya layanan masuk akal  investor kabur usernya berkurang ,pertahanan promo cashback free ongkirnya 
4244,Kaget kecewa bangt tokopedia kana denda keterlambatan payleter cicil perhari nya Denda RP50000 bener  KAPOK ,Kaget kecewa bangt tokopedia kana denda keterlambatan payleter cicil perhari nya Denda RP50000 bener  KAPOK 
4245,BIAYA LAYANAN  BIAYA APLIKASI MAHAL AJA,BIAYA LAYANAN  BIAYA APLIKASI MAHAL AJA
4246,Ampas,Ampas
4247,paket udah ulasan  Belanja lumayan sih mengecewakan,paket udah ulasan  Belanja lumayan sih mengecewakan
4248,Ongkir nya ngaco  Biaya layanan sekar ng,Ongkir nya ngaco  Biaya layanan sekar ng
4249,keren,keren
4250,Biaya layanan mencekik 1k 3k  Awokwokkkkk  otw nyungsep nih,Awokwokkkkk  otw nyungsep nih
4251,Kemaren Bln 10 2022 Pembayaran pakai gopay biaya jasa  1000trx   mei 2023 2000trx dibawah 1 jt 1 jt 3000trx memberatkan sudahi pindah sebelah   Bukanya kerja gojek  metone pembayaran laen si gak papa,metone pembayaran laen si gak papa
4252,apk aja bayar langsung batal uang ku,apk aja bayar langsung batal uang ku
4253,Tokopedia buruk  Biaya admin belanja gk kena 3rb rupiah  gila aja market  free ongkir susah  Males bgt belanja  Gw toko orange mahal admin nya  eh Tokopedia mahal biaya admin nya  ,Males bgt belanja  Gw toko orange mahal admin nya  eh Tokopedia mahal biaya admin nya  
4254,Duh Nambah biaya layanan,Duh Nambah biaya layanan
4255,Kapitalis,Kapitalis
4256,kecewa tokped transaksi pake code VA napa biaya layanan coba hadehh  tambahan udah kaga kupon musti pilih salah kupon freeongkir cashback t  l  l belanja tokped berasa tukang parkir online,kecewa tokped transaksi pake code VA napa biaya layanan coba hadehh  tambahan udah kaga kupon musti pilih salah kupon freeongkir cashback t  l  l belanja tokped berasa tukang parkir online
4257,Tolong perbaiki kurir pengiriman  1 jasa kirim dilayani Tokopedia pakai kurir sameday berasa gratis ongkir   2  Kurir sicepat bngt  pengiriman  suka barang kembalikan gudang trs kirim ulang besoknya  barang gak kirim barang udah 12 gudang ,Kurir sicepat bngt 
4258,update terbaru  sangat2 zonk  Gratis ongkir cuman gimmick  udh kaya si oren aja  promo  cashback ga masuk pesanan selesai  kupon promo ga dipakai bareng gratis ongkir  biaya layanan layanan  buruk dr  sy pakai tokopedia 5tahun sbg aplikasi belanja utama  bener2 kecewa update terbarunya   semoga kedepannya diperbaiki  edited  biaya  parkir  ditambahin  35rebu  hadeh,sy pakai tokopedia 5tahun sbg aplikasi belanja utama  bener2 kecewa update terbarunya   semoga kedepannya diperbaiki  edited  biaya  parkir  ditambahin  35rebu  hadeh
4259,Kebanyakan biaya layanan,Kebanyakan biaya layanan
4260,favorittttt,favorittttt
4261,Ganti aja namanya tokobiaya belanja biayanya ,Ganti aja namanya tokobiaya belanja biayanya 
4262,Nice,Nice
4263,pensiun  punglinya gak ngotak  pertransaksi palak 1000 3000  Parah bener  udah bagus bagus marger gojek kapitalis bangkrut lo  Btw terima kasih udah membantu  maaf berpisah ,udah bagus bagus marger gojek kapitalis bangkrut lo 
4264,gangguan fitur ulasan gak buka ,gangguan fitur ulasan gak buka 
4265,biaya  sumpah CEO nya gimana yaaaaa  belanja  nyesel,belanja  nyesel
4266,SKARANG KEBANYAKAN IURAN,SKARANG KEBANYAKAN IURAN
4267,Jarang barang cod,Jarang barang cod
4268,,
4269,Wktu ga biaya Layanan skrng biaya layanan 1000 tp ga pa2  tp skrng nambah biaya aplikasi 2000  smkin tambahan biaya  hduhhhh,Wktu ga biaya Layanan skrng biaya layanan 1000 tp ga pa2  tp skrng nambah biaya aplikasi 2000  smkin tambahan biaya  hduhhhh
4270,Luamaaaaa banget barang nya tuh  nalar emang  udh deket  ga sampe²  macet gimana pakkkk   Kurirnya ngopi kali ya  aplikasi  suka mengecewakan pelanggan,Kurirnya ngopi kali ya  aplikasi  suka mengecewakan pelanggan
4271,good,good
4272,kesini toped emang bikin kecewa ngeheng official store order barang ditunggu tunggu tau²dibatalin trus  pengiriman muter²aneh berlanjut 2mei 2023,kesini toped emang bikin kecewa ngeheng official store order barang ditunggu tunggu tau²dibatalin trus  pengiriman muter²aneh berlanjut 2mei 2023
4273,mantaaap,mantaaap
4274,Paraaaaah  parah ga beli barang adaa cek out pake web  Ngapain aplikasi klu ujung ujungnya disuruh beli web ,Paraaaaah  parah ga beli barang adaa cek out pake web  Ngapain aplikasi klu ujung ujungnya disuruh beli web 
4275,Biaya jasa aplikasi,Biaya jasa aplikasi
4276,Hebatnya tokopedia  kemunculannya senang menggunakannya segan menggunakannya karna byk yg gak masuk akal smenjak manjemen terbentuk  dr voucher yg tdk gabung free ongkir skrg biaya jasa aplikasi yg dr 1000 jd 2000 buldep dinaikan lg ya alasannya meningkatkan aplikasi  pdhl mah kepentingan yg ya  CMIIW mudah2an kedepannya mementingkan pengguna drpd mementingkan kantong manajemen barunyaaamiin aamiin,Hebatnya tokopedia  kemunculannya senang menggunakannya segan menggunakannya karna byk yg gak masuk akal smenjak manjemen terbentuk  dr voucher yg tdk gabung free ongkir skrg biaya jasa aplikasi yg dr 1000 jd 2000 buldep dinaikan lg ya alasannya meningkatkan aplikasi  pdhl mah kepentingan yg ya  CMIIW mudah2an kedepannya mementingkan pengguna drpd mementingkan kantong manajemen barunyaaamiin aamiin
4277,Sip tingkatkan,Sip tingkatkan
4278,Semenjak gabung gojek  TOKOPEDIA KACAU  makan tuh gratis ongkir sm cashback wawadukan  biaya layanan  biaya aplikasi   bentar bangkrut  ngikutin jejak BL,Semenjak gabung gojek  TOKOPEDIA KACAU  makan tuh gratis ongkir sm cashback wawadukan  biaya layanan  biaya aplikasi   bentar bangkrut  ngikutin jejak BL
4279,Top,Top
4280,Udhh bangkrut ngab ,Udhh bangkrut ngab 
4281,rutin belanja tokopedia dibilang Checkout  cuman biayanya ya  biaya layanan 1rb ditambah biaya jasa aplikasi 2rb  berpaling deh Shopee Bukalapak,berpaling deh Shopee Bukalapak
4282,Tokopedia menghargai pembeli  mementingkan toko  membatalkan pesanan konfirm toko  retur konfirm toko  Ya toko mah  Uninstall aja  Pake s3belah,Ya toko mah 
4283,biaya layanan 1k biaya aplikasi 2k bebankan pembeli maksudnya ,biaya layanan 1k biaya aplikasi 2k bebankan pembeli maksudnya 
4284,cepat transaksi mudah,cepat transaksi mudah
4285,jualan tokopedia dipersulit  saldo toko ditahan2  pencairan 2x24jam,jualan tokopedia dipersulit  saldo toko ditahan2  pencairan 2x24jam
4286,beli Oli motor pas flashsale eh buset nambah biaya layanan biaya aplikasi  gak beli  parah Tokopedia  mending beli Lazada Blibli gak biaya tambahan  org beli barang Tokopedia gak beli kebentur biaya sih ,org beli barang Tokopedia gak beli kebentur biaya sih 
4287,Toped kebanyakan biaya layanan  bangkrut ya ,Toped kebanyakan biaya layanan  bangkrut ya 
4288,bagus,bagus
4289,2x pesan barang elektronik  yg beres    komplain 1bulan kelar2  urusannya  kayak ngurus proposal pusat susahnya ampun   menggukan aplikasi  blanja elecktro,2x pesan barang elektronik  yg beres    komplain 1bulan kelar2  urusannya  kayak ngurus proposal pusat susahnya ampun   menggukan aplikasi  blanja elecktro
4290,Kbnyakan potongan   jasa aplikasi 20001000,Kbnyakan potongan   jasa aplikasi 20001000
4291,Bagus  aman terpercaya barang tujuan dll  sukses ya Tokopedia semoga lancar   Good luck toko pedia ,Good luck toko pedia 
4292,udah gw uninstall gara gara akun dibekukan redeem giftcard giftcard hasil beli wkwkwk  selamat bangkrut aja biaya jasa aplikasi mahal  promo kagak digabung ,udah gw uninstall gara gara akun dibekukan redeem giftcard giftcard hasil beli wkwkwk  selamat bangkrut aja biaya jasa aplikasi mahal  promo kagak digabung 
4293,mantabb,mantabb
4294,pembelian biaya layanan 1000  biaya aplikasi 2000  100 X order uang habis 300000 belajar rentenir bro ,100 X order uang habis 300000 belajar rentenir bro 
4295,Mantap jiwa ,Mantap jiwa 
4296,Aplikasi buruk   GA KASIH SOLUSI  MEMPERKERUH   ,
4297,mantap,mantap
4298,penjual yg menjual barang KW diskripsinya menjual barang ORI 100   pengajuan dana  penjual menolak memutarbalikkan fakta pembeli mengirim barang KW  mediasi pembeli yg dirugikan  harapan pembeli beli tokped biar aman dilindungi  Kapok,pengajuan dana  penjual menolak memutarbalikkan fakta pembeli mengirim barang KW 
4299,Biaya layanan  biaya jasa aplikasi  macammacam biayanya  ambil persenan penjual  pembeli dibebankan ,ambil persenan penjual  pembeli dibebankan 
4300,UDAH NYOBA GO PAY LATER CICIL  COBAIN DEH HEMMMM  BUNGANYA MANTAP ,COBAIN DEH HEMMMM  BUNGANYA MANTAP 
4301,mantap,mantap
4302,biaya jasa aplikasi 2000  biaya layanan 1000  harga dibeli mahal karna TOKO yg jual karna tokped  Bye aja ,biaya jasa aplikasi 2000  biaya layanan 1000  harga dibeli mahal karna TOKO yg jual karna tokped  Bye aja 
4303,LOVE TOKPED SOOO MUCHH,LOVE TOKPED SOOO MUCHH
4304,mending promo digabung  kagak wkwkwk Biaya layanan naek terosss bengkrut loh,mending promo digabung  kagak wkwkwk Biaya layanan naek terosss bengkrut loh
4305,Toped is lyfe,Toped is lyfe
4306,Ok,Ok
4307,membantu,membantu
4308,Bayar pakai gopay admin 2000,Bayar pakai gopay admin 2000
4309,Tokopedia skrg senyaman yaa  Tokopedia gak pelit sm cashback  freeong promo  mah pelit  Kl mw freeong gak dpt cashback  biaya layanan 1000 eh srkg ditambah biaya aplikasi 2000  pelanggan n member Diamond jd pembeli tokopedia gak dapet bonus   ngarep   Blm lg kurir nya jg skrg euy ,Tokopedia skrg senyaman yaa  Tokopedia gak pelit sm cashback  freeong promo  mah pelit  Kl mw freeong gak dpt cashback  biaya layanan 1000 eh srkg ditambah biaya aplikasi 2000  pelanggan n member Diamond jd pembeli tokopedia gak dapet bonus   ngarep   Blm lg kurir nya jg skrg euy 
4310,mudah pembelian disaat kantong tipis  hehehe,mudah pembelian disaat kantong tipis  hehehe
4311,top,top
4312,mah jasa aplikasi  biaya layanan,mah jasa aplikasi  biaya layanan
4313,Asik enjoy,Asik enjoy
4314,tambahan biaya layanan biaya aplikasi  heheh wait and see,tambahan biaya layanan biaya aplikasi  heheh wait and see
4315, HILANGKAN Biaya Jasa Aplikasi  sepi klo d biaya jasa aplikasi , HILANGKAN Biaya Jasa Aplikasi  sepi klo d biaya jasa aplikasi 
4316,teh celup enk coy,teh celup enk coy
4317,BARANG TERCANTUM COD  trus pilih pembayaran  COD nya hilang  PUNIPU ,PUNIPU 
4318,aja enak banget,aja enak banget
4319,Seruh,Seruh
4320,bagus  biaya tambahan apapun  biaya layanan 1000  muncul biaya jasa aplikasi 2000,bagus  biaya tambahan apapun  biaya layanan 1000  muncul biaya jasa aplikasi 2000
4321,Apk pepek,Apk pepek
4322,Nice  Tokopedia,Nice  Tokopedia
4323,biaya jasa aplikasi biaya layanan  suka tokopedia tampilan nya oke produknya relatif terbebani biaya layanan jasa aplikasi yg senilai 3000 tolong hapus biaya layanan jasa aplikasi,suka tokopedia tampilan nya oke produknya relatif terbebani biaya layanan jasa aplikasi yg senilai 3000 tolong hapus biaya layanan jasa aplikasi
4324,Pfft stupid biaya aplikasiaowkwkk Auto uninstall,Pfft stupid biaya aplikasiaowkwkk Auto uninstall
4325,Aplikasi bermasalah refund  refund ganti uang  barang dikirim  seller mengganti metode tukar barang  dikirimi barang yg rusak,Aplikasi bermasalah refund  refund ganti uang  barang dikirim  seller mengganti metode tukar barang  dikirimi barang yg rusak
4326,mantap,mantap
4327,Udah gila biayanya sampe 3k,Udah gila biayanya sampe 3k
4328,2 mei tambahan biaya jasa aplikasi rp 2000  berbeda biaya layanan yg harga rp 1000  biaya gabung ,biaya gabung 
4329,system lambat penanganan nya  refaund dana lambat  beda shopee PARAH nya CUSTOMER CARE nya ga kasih solusi 3 kalinya kecewa aplikasi TOKOPEDIA,system lambat penanganan nya  refaund dana lambat  beda shopee PARAH nya CUSTOMER CARE nya ga kasih solusi 3 kalinya kecewa aplikasi TOKOPEDIA
4330,Tokopedia terbaik  beli kuota diskon  setia adakan voucher diskon min Ok  terimakasih,setia adakan voucher diskon min Ok  terimakasih
4331,mantap,mantap
4332,diamond  bintang 5 terpaksa turunkan  biaya layanan Rp 1000 transaksi ok ga  biaya jasa aplikasi Rp 2000 Haduh kayak orang numpang buang air toilet,diamond  bintang 5 terpaksa turunkan  biaya layanan Rp 1000 transaksi ok ga  biaya jasa aplikasi Rp 2000 Haduh kayak orang numpang buang air toilet
4333,Buruk banget same day 36 jam  Some day 2hari 1 ,Some day 2hari 1 
4334,Tolong min adakan gopay coin please,Tolong min adakan gopay coin please
4335,Tibatiba dikenakan biaya aplikasi idr 2000 sosialisasi ,Tibatiba dikenakan biaya aplikasi idr 2000 sosialisasi 
4336,admin aplikasi pengen haji 2ribu dihh,admin aplikasi pengen haji 2ribu dihh
4337,Maaf  sy berlangganan bertahun2 tokopedia pakai BIAYA JASA APLIKASI 2000 sekalu transaksi  kemarin 1000 habis lebaran 2000  Tolong Tokopedia gk g Cantumin BIAYA JASA APLIKASI  lumayan 2000 kali  mending sy ber alih aplikasi yg  jgn smp kalah toko sebelah  gampang kayak nya tik t shop  gk biaya aplikasi,Tolong Tokopedia gk g Cantumin BIAYA JASA APLIKASI  lumayan 2000 kali  mending sy ber alih aplikasi yg  jgn smp kalah toko sebelah  gampang kayak nya tik t shop  gk biaya aplikasi
